"#","Carat","Cut","Color","Clarity","Depth","Table","Price","Length","Width"
"82",0.26,"Very Good","D","VVS1",62.1,60,554,4.03,4.12
"83",0.26,"Ideal","E","VVS2",62.9,58,554,4.02,4.06
"84",0.38,"Ideal","I","SI2",61.6,56,554,4.65,4.67
"85",0.26,"Good","E","VVS1",57.9,60,554,4.22,4.25
"86",0.24,"Premium","G","VVS1",62.3,59,554,3.95,3.92
"87",0.24,"Premium","H","VVS1",61.2,58,554,4.01,3.96
"88",0.24,"Premium","H","VVS1",60.8,59,554,4.02,4
"89",0.24,"Premium","H","VVS2",60.7,58,554,4.07,4.04
"90",0.32,"Premium","I","SI1",62.9,58,554,4.35,4.33
"91",0.7,"Ideal","E","SI1",62.5,57,2757,5.7,5.72
"92",0.86,"Fair","E","SI2",55.1,69,2757,6.45,6.33
"93",0.7,"Ideal","G","VS2",61.6,56,2757,5.7,5.67
"94",0.71,"Very Good","E","VS2",62.4,57,2759,5.68,5.73
"95",0.78,"Very Good","G","SI2",63.8,56,2759,5.81,5.85
"96",0.7,"Good","E","VS2",57.5,58,2759,5.85,5.9
"97",0.7,"Good","F","VS1",59.4,62,2759,5.71,5.76
"98",0.96,"Fair","F","SI2",66.3,62,2759,6.27,5.95
"99",0.73,"Very Good","E","SI1",61.6,59,2760,5.77,5.78
